,ID,Infrastructure Inauguration,Walking Tour,Exhibition,Conference,Car-Free Day,Cycling Event,Road Safety Workshop,Parking Day
0,0,0.4120171070098877,0.2813011705875397,0.17862369120121002,0.08194655179977417,0.018968239426612854,0.011018345132470131,0.00874373596161604,0.007381188217550516
1,1,0.053262859582901,0.019911691546440125,0.5608859658241272,0.2828526794910431,0.024229418486356735,0.007931140251457691,0.035389695316553116,0.015536529012024403
2,2,0.03675105422735214,0.00972586777061224,0.0850629135966301,0.06615405529737473,0.029507895931601524,0.730317234992981,0.03351333737373352,0.008967588655650616
3,3,0.00808568112552166,0.00231192447245121,0.005367528647184372,0.0030861778650432825,0.971630871295929,0.004496073350310326,0.002844281727448106,0.0021774335764348507
4,4,0.006939243525266647,0.010499429889023304,0.17267121374607086,0.7923862338066101,0.0030094804242253304,0.007642427925020456,0.0033030856866389513,0.003548902692273259
5,5,0.06754231452941895,0.006009669508785009,0.698887288570404,0.19308310747146606,0.015395727008581161,0.004027368035167456,0.01048218458890915,0.004572364501655102
6,6,0.06580013781785965,0.019845204427838326,0.31179311871528625,0.11648436635732651,0.014375855214893818,0.45195823907852173,0.015626082196831703,0.00411695521324873
7,7,0.11077061295509338,0.03189095854759216,0.6552504301071167,0.05667690560221672,0.08323603868484497,0.015749530866742134,0.03054291382431984,0.015882698819041252
8,8,0.07061781734228134,0.7028034329414368,0.10845355689525604,0.05327155068516731,0.03080529347062111,0.008546264842152596,0.017663955688476562,0.00783813837915659
9,9,0.7520778775215149,0.010665819980204105,0.0841723307967186,0.051472581923007965,0.03297247365117073,0.04306399077177048,0.016153117641806602,0.009421713650226593
10,10,0.12579047679901123,0.008544202893972397,0.5094961524009705,0.13224861025810242,0.03063303232192993,0.17600442469120026,0.013313686475157738,0.003969395067542791
11,11,0.05859764292836189,0.04775775596499443,0.264365553855896,0.2869674563407898,0.045051608234643936,0.24929139018058777,0.02914080210030079,0.018827812746167183
12,12,0.17159244418144226,0.29746899008750916,0.1685592532157898,0.0625525563955307,0.044019006192684174,0.20527835190296173,0.036384426057338715,0.01414493564516306
13,13,0.07287034392356873,0.13961486518383026,0.23172666132450104,0.24871575832366943,0.0839402824640274,0.04109591618180275,0.12736554443836212,0.05467066168785095
14,14,0.07003932446241379,0.06169729307293892,0.7353366613388062,0.07969155162572861,0.016755927354097366,0.010916001163423061,0.015204442664980888,0.010358763858675957
15,15,0.05296304449439049,0.03395863249897957,0.1644609421491623,0.6923383474349976,0.02008405700325966,0.008760161697864532,0.01791287399828434,0.009521888568997383
16,16,0.3949722647666931,0.014265840873122215,0.3206464648246765,0.24439382553100586,0.009971021674573421,0.0040732785128057,0.00839744322001934,0.003279841737821698
17,17,0.05181936174631119,0.8455057740211487,0.03403699770569801,0.027858074754476547,0.017892370000481606,0.00601856829598546,0.010036086663603783,0.0068327379412949085
18,18,0.015027000568807125,0.032837312668561935,0.025995906442403793,0.018239829689264297,0.014162294566631317,0.8736035823822021,0.01335858553647995,0.006775503512471914
19,19,0.03032401204109192,0.022055957466363907,0.04317942634224892,0.862996518611908,0.008951223455369473,0.019197987392544746,0.00971257034689188,0.0035823474172502756
20,20,0.08302365243434906,0.42680037021636963,0.20488928258419037,0.15541335940361023,0.04031165689229965,0.015297104604542255,0.04881054162979126,0.02545393630862236
21,21,0.1637316197156906,0.032621607184410095,0.2843244671821594,0.25161951780319214,0.06425056606531143,0.1424770951271057,0.03631408512592316,0.02466113679111004
22,22,0.4367299973964691,0.26519423723220825,0.07218410819768906,0.05363041162490845,0.08334045857191086,0.04345034062862396,0.03264401853084564,0.012826398015022278
23,23,0.044025544077157974,0.029364969581365585,0.3632008731365204,0.4189217984676361,0.05851137638092041,0.01696980744600296,0.049337998032569885,0.019667651504278183
24,24,0.2833408713340759,0.14342167973518372,0.13390006124973297,0.27861908078193665,0.10856317728757858,0.026104411110281944,0.012435823678970337,0.01361493393778801
25,25,0.05816146731376648,0.040114860981702805,0.46498826146125793,0.20148822665214539,0.011016495525836945,0.13258351385593414,0.08715153485536575,0.004495637025684118
26,26,0.05535631626844406,0.09408460557460785,0.10456410050392151,0.19513675570487976,0.4540559947490692,0.029531175270676613,0.04564812034368515,0.021623002365231514
27,27,0.06862103939056396,0.017683500424027443,0.7295505404472351,0.07880118489265442,0.03866573050618172,0.017290856689214706,0.03473122417926788,0.014655983075499535
28,28,0.05447790026664734,0.024011652916669846,0.2010943591594696,0.11991996318101883,0.11699303239583969,0.4009133577346802,0.06851078569889069,0.01407894678413868
29,29,0.06770025938749313,0.01959783397614956,0.2907850444316864,0.514181911945343,0.05092904344201088,0.027974307537078857,0.013208633288741112,0.015622904524207115
30,30,0.14438694715499878,0.05695516988635063,0.46207842230796814,0.1490180492401123,0.04508363828063011,0.06636334955692291,0.05191107839345932,0.02420341782271862
31,31,0.022488465532660484,0.00908900797367096,0.15821415185928345,0.7092961072921753,0.020239148288965225,0.008441697806119919,0.06502153724431992,0.007209850009530783
32,32,0.12213578820228577,0.10430612415075302,0.20548395812511444,0.11771975457668304,0.19367468357086182,0.15153414011001587,0.056581076234579086,0.048564448952674866
33,33,0.021728334948420525,0.04254484176635742,0.029697725549340248,0.009275196120142937,0.3121539354324341,0.5789064764976501,0.003231797367334366,0.002461692551150918
34,34,0.0801168903708458,0.04310855269432068,0.3929976224899292,0.12237724661827087,0.1483466774225235,0.09266660362482071,0.08278395235538483,0.037602443248033524
35,35,0.1313229650259018,0.37741437554359436,0.19279779493808746,0.14410389959812164,0.05246761441230774,0.020858440548181534,0.05027291923761368,0.030761977657675743
