city,population,latitude,longitude
"El Vendrell, Spain",37606,41.2196699,1.534307
"Ermua, Spain",15628,43.1873519,-2.5037039
"Esparreguera, Spain",22365,41.5389334,1.870725
"Esplugues de Llobregat, Spain",46777,41.3772561,2.0910377
"Figueres, Spain",47000,42.2655066,2.9581046
"Fiñana, Spain",1992,37.1709472,-2.8415046
"Foradada, Spain",215,41.8768861,1.0129973
"Formentera, Spain",11389,38.6964006,1.4531355
"Fuenlabrada, Spain",192233,40.2838221575706,-3.799851779406736
"Gaià, Spain",184,41.91642969999999,1.9253448
"Galapagar, Spain",35273,40.578781674169946,-4.003782194165044
"Gandía, Spain",78537,38.968032,-0.1844671
"Gavà, Spain",48558,41.3028274,2.0019345
"Gelida, Spain",7727,41.43991490000001,1.8672009
"Getafe, Spain",180000,40.3082504,-3.7323934
"Getxo, Spain",80365,43.3387367,-3.0081319
"Gijón, Spain",273422,43.5322015,-5.6611195
"Ginestar, Spain",781,41.0417854,0.6334662
"Girona, Spain",97854,41.9794005,2.8214264
"Godella, Spain",13027,39.5232062,-0.4160527
"Golmés, Spain",1940,41.6324739,0.9322548999999754
"Granada, Spain",228682,37.1774605,-3.5984368
"Granyena de les Garrigues, Spain",174,41.432857,0.6491468
"Guardiola de Berguedà, Spain",897,42.2501433,1.900155000000041
"Guissona, Spain",7393,41.784519,1.2903074
"Gurb, Spain",2680,41.9458819,2.2393486
"Herrera del Duque, Spain",4000,39.1686078,-5.050761200000001
"Hondarribia, Spain",17119,43.3708434,-1.800148799999988
"Horta de Sant Joan, Spain",1231,40.9538408,0.315441
"Ibiza (Eivissa)
, Spain",49975,39.0200099,1.4821482
"Icod de los Vinos, Spain",23316,28.36773795172814,-16.719432654275504
"Igualada, Spain",41287,41.5847817,1.6226538
"Irun, Spain",61300,43.3380969,-1.7888483
"Isòvol, Spain",338,42.378096,1.8176639
"Ivars d'Urgell, Spain",1557,41.6804785,0.9880418999999848
"Jaca, Spain",13437,42.5717166,-0.5470554
"Jerez de la Frontera, Spain",210800,36.6850064,-6.1260744
"Jumilla, Spain",25362,38.4763532,-1.3221865000000437
"L'Albi, Spain",799,41.4230658,0.9360877
"L'Albiol, Spain",530,41.2520305,1.0896013999999925
"L'Alcúdia, Spain",12203,39.1974843,-0.504520599999978
"L'Aldea, Spain",4200,40.7455735,0.6186663
"L'Hospitalet de Llobregat, Spain",266000,41.3661865,2.1164942
"La Algaba, Spain",17000,37.4587461,-6.013631699999999
"La Bisbal d'Emporda, Spain",10793,41.9586483,3.0397887
"La Bisbal de Falset, Spain",250,41.28063789999999,0.7225467000000001
"La Fatarella, Spain",1056,41.1621105,0.4736798
"La Garriga, Spain",17700,41.6801283,2.2832354
"La Granada, Spain",1976,41.3758318,1.7222535
"La Granja d'Escarp, Spain",967,41.4188099,0.3530666000000337
"La Palma d'Ebre, Spain",341,41.28333019999999,0.6660391
"La Pobla de Lillet, Spain",1340,42.2445647,1.9753087999999932
"La Roda de Andalucía, Spain",4100,37.2013385,-4.778637799999999
"La Selva del Camp, Spain",5800,41.2137005,1.1412993
"La Seu d'Urgell, Spain",12468,42.3575784,1.4555525
"La Tallada d'Empordà, Spain",482,42.0789179,3.0560877
"La Vall d'en Bas, Spain",2983,42.1116405,2.4406387000000223
"Lahiguera, Spain",1588,37.9705003,-3.9916696
"Las Palmas de Gran Canaria, Spain",384000,28.126251174085613,-15.429284116485578
"Leganés, Spain",187762,40.3319506,-3.7686545
"Leioa, Spain",32000,43.3267036,-2.990057
"León, Spain",120951,42.5987263,-5.567095900000027
"Les Avellanes i Santa Linya, Spain",400,41.9366402,0.810357
"Les Borges Blanques, Spain",6300,41.5223705,0.8735607000000001
"Les Franqueses del Vallès, Spain",20493,41.6266037346886,2.294351555169416
"Les Llosses, Spain",216,42.1504834,2.1158758
"Llagostera, Spain",9700,41.8265546,2.8930242
"Llanars, Spain",535,42.3205278,2.3439807
"Llançà, Spain",4905,42.36159310000001,3.1450291
"Lleida, Spain",140000,41.6175899,0.6200146
"Lles de Cerdanya, Spain",326,42.3909912,1.6873068
"Lloret de Mar, Spain",37350,41.7005989,2.8398194000000103
"Lorca, Spain",95000,37.6735925,-1.6968357
"Maçanet de la Selva, Spain",7822,41.7773600613847,2.73088261380682
"Madridejos, Spain",10900,39.4717383,-3.5332049
"Maià de Montcal, Spain",409,42.2213489,2.7446554
"Mainar, Spain",172,41.1925166,-1.302949300000023
"Mairena del Alcor, Spain",22447,37.3740447,-5.7484139
"Mairena del Aljarafe, Spain",47515,37.350923,-6.0520363
"Málaga, Spain",570006,36.7212737,-4.4213988
"Manacor, Spain",42000,39.5697165,3.209531800000036
"Manises, Spain",31287,39.4937868,-0.4635382999999999
"Manresa, Spain",80208,41.7297841,1.8225882
"Marbella, Spain",150000,36.5102831,-4.8852579
"Marganell, Spain",310,41.640497,1.7903143
"Marratxí, Spain",38000,39.627193,2.7572077
"Martorell, Spain",28772,41.4795041,1.923048
"Masquefa, Spain",9800,41.501395,1.8141603
"Mataró, Spain",129120,41.5381124,2.4447406
"Mazarrón, Spain",34462,37.5958175,-1.3147353
"Mengíbar (Mengibar)
, Spain",10034,37.96839910911937,-3.808639822753905
"Meranges, Spain",112,42.4459925,1.7870551
"Miralcamp, Spain",1400,41.6040772,0.8782392
"Miranda de Ebro, Spain",40000,42.6869753,-2.945068
"Miravet, Spain",700,41.0407656,0.5998512
"Mollet del Valles (Mollet del Vallés)
, Spain",51294,41.5411881,2.2188527
"Monistrol de Montserrat, Spain",3176,41.6107783,1.8434162
"Mont-ras, Spain",1715,41.9081233,3.1517209
"Montbrió del Camp, Spain",3200,41.1219298,1.0047768
"Montcada i Reixac, Spain",35000,41.4931546,2.181871000000001
"Montesquiu, Spain",1140,42.1095379,2.2082961
"Montferrer i Castellbò, Spain",1060,42.3414677,1.4282184999999572
"Montgat, Spain",11325,41.4684703,2.2850483
"Montornès de Segarra, Spain",95,41.6011643,1.2310613
"Moraleja, Spain",6585,40.0703045,-6.6576219
"Móstoles, Spain",210000,40.3232129,-3.8676291
"Motril, Spain",60000,36.7489747,-3.5180363
"Murcia, Spain",459403,37.9922399,-1.1306544
"Nalec, Spain",80,41.5602211,1.1155172
"Navarcles, Spain",5973,41.7535973,1.9062603
"Navata, Spain",1450,42.2240903,2.8614511
"Olesa de Bonesvalls, Spain",2016,41.3502414,1.8489571
"Olesa de Montserrat, Spain",23645,41.5451695,1.8913371
"Olius, Spain",1015,42.0089338,1.5646092
"Olost, Spain",1218,41.989812,2.0959429
"Olot, Spain",33981,42.1822078,2.4880242
"Orihuela, Spain",78505,38.08555279999999,-0.9480051
"Oviedo, Spain",219910,43.36208157867061,-5.85097371234313
"Pacs del Penedès, Spain",911,41.3605895,1.6727287
"Paiporta, Spain",27184,39.4274468,-0.4184093
"Palafolls, Spain",9256,41.6684521,2.750733500000024
"Palafrugell, Spain",25000,41.918304,3.1624042
